Country,Year,Food_Category,Total_Waste_Tons,Economic_Loss_Million_USD,Avg_Waste_per_Capita_Kg,Population_Million,Household_Waste_Pct,Continent,Industrial_Waste_Pct
Australia,2019,Fruits & Vegetables,19268.63,"$18,686.68",72.69,87.6,53.64,Oceania,46.36
Indonesia,2019,Prepared Food,3916.97,"$4,394.48",192.52,1154.0,30.61,Asia,69.39
Germany,2022,Dairy Products,9700.16,"$8,909.16",166.94,1006.1,48.08,Europe,51.92
France,2023,Fruits & Vegetables,46299.69,"$40,551.22",120.19,953.1,31.91,Europe,68.09
France,2023,Beverages,33096.57,"$36,980.82",104.74,1105.5,36.06,Europe,63.94
India,2024,Fruits & Vegetables,11962.89,"$11,196.04",136.21,1311.9,37.09,Asia,62.91
Germany,2024,Prepared Food,45038.72,"$39,191.25",179.27,1349.5,68.93,Europe,31.07
China,2019,Fruits & Vegetables,12791.20,"$12,233.28",90.80,1229.3,59.90,Asia,40.1
UK,2019,Meat & Seafood,14795.65,"$14,346.97",128.91,450.3,59.01,Europe,40.99
India,2019,Grains & Cereals,12118.32,"$13,631.17",141.75,359.3,42.42,Asia,57.58
South Africa,2024,Frozen Food,39478.70,"$40,087.26",155.55,375.8,31.16,Africa,68.84
Japan,2022,Frozen Food,41025.90,"$35,437.90",49.95,1219.4,33.79,Asia,66.21
USA,2024,Beverages,22924.85,"$22,406.24",89.59,836.1,45.43,North America,54.57
France,2018,Beverages,29295.07,"$34,102.25",46.64,1286.7,32.95,Europe,67.05
USA,2022,Bakery Items,32457.98,"$27,905.84",46.77,865.6,46.46,North America,53.54
USA,2021,Meat & Seafood,43264.26,"$44,777.94",41.81,665.2,48.22,North America,51.78
Brazil,2021,Frozen Food,23131.08,"$21,882.67",50.79,853.1,49.78,South America,50.22
Saudi Arabia,2020,Prepared Food,18483.82,"$21,071.65",198.62,143.1,48.83,Asia,51.17
UK,2022,Meat & Seafood,25829.56,"$20,806.34",119.62,185.0,32.51,Europe,67.49
China,2018,Prepared Food,11314.08,"$10,287.70",111.67,953.5,33.75,Asia,66.25
Saudi Arabia,2019,Fruits & Vegetables,10653.37,"$8,992.33",74.16,37.8,46.44,Asia,53.56
Australia,2020,Fruits & Vegetables,1322.82,"$1,394.01",88.85,205.8,30.63,Oceania,69.37
India,2023,Meat & Seafood,33403.26,"$39,125.38",137.60,1299.2,36.55,Asia,63.45
Italy,2023,Fruits & Vegetables,30875.29,"$31,341.60",198.26,349.0,52.64,Europe,47.36
Saudi Arabia,2024,Prepared Food,33085.77,"$28,923.13",37.71,552.5,38.96,Asia,61.04
Germany,2018,Beverages,12336.20,"$10,077.91",38.86,689.2,36.92,Europe,63.08
Brazil,2021,Bakery Items,5949.18,"$6,656.14",35.46,698.4,61.48,South America,38.52
France,2018,Frozen Food,17470.52,"$16,267.24",73.76,855.4,60.11,Europe,39.89
Spain,2021,Fruits & Vegetables,41676.18,"$43,058.29",135.22,1325.5,54.32,Europe,45.68
Mexico,2018,Meat & Seafood,20604.34,"$23,257.47",31.88,412.5,67.53,North America,32.47
Argentina,2020,Bakery Items,49310.46,"$49,520.57",21.69,984.0,55.47,South America,44.53
Indonesia,2024,Frozen Food,26812.66,"$28,028.30",57.00,891.7,48.81,Asia,51.19
Argentina,2022,Bakery Items,17868.63,"$20,588.93",82.52,897.8,54.59,South America,45.41
USA,2019,Bakery Items,13732.64,"$15,129.94",156.84,618.9,38.14,North America,61.86
Saudi Arabia,2019,Beverages,29827.95,"$31,970.55",102.81,1235.4,66.68,Asia,33.32
Canada,2021,Frozen Food,28802.20,"$29,584.64",190.42,687.8,33.73,North America,66.27
South Korea,2023,Frozen Food,29848.30,"$27,362.18",47.82,1131.8,49.97,Asia,50.03
Brazil,2024,Grains & Cereals,39420.56,"$34,541.01",65.63,513.7,56.49,South America,43.51
Brazil,2024,Prepared Food,37292.94,"$35,268.41",80.60,619.8,57.00,South America,43
Japan,2020,Beverages,44797.11,"$41,233.80",64.74,1234.6,65.69,Asia,34.31
Japan,2023,Bakery Items,40398.07,"$48,103.94",177.95,367.8,32.26,Asia,67.74
Russia,2020,Dairy Products,13679.64,"$14,249.79",182.75,776.2,51.14,Europe,48.86
China,2024,Frozen Food,11766.79,"$11,890.12",21.26,84.7,37.22,Asia,62.78
Argentina,2021,Meat & Seafood,24444.03,"$26,615.82",123.83,303.8,60.73,South America,39.27
Russia,2019,Bakery Items,15476.91,"$13,087.99",176.50,1335.8,36.70,Europe,63.3
Saudi Arabia,2018,Frozen Food,2751.15,"$2,310.76",52.39,622.9,51.00,Asia,49
Italy,2024,Fruits & Vegetables,20238.65,"$18,395.86",22.64,467.6,50.90,Europe,49.1
USA,2022,Dairy Products,8731.68,"$10,040.12",63.83,543.4,42.96,North America,57.04
UK,2023,Grains & Cereals,23609.83,"$25,520.57",152.21,272.9,66.14,Europe,33.86
South Korea,2024,Grains & Cereals,38427.68,"$31,258.66",92.89,952.2,40.69,Asia,59.31
Germany,2023,Bakery Items,33550.41,"$32,946.48",193.85,1333.3,55.02,Europe,44.98
Australia,2020,Beverages,45243.85,"$37,828.94",47.21,559.6,50.34,Oceania,49.66
UK,2023,Meat & Seafood,30022.09,"$24,487.08",92.64,1278.0,54.63,Europe,45.37
Argentina,2019,Prepared Food,49481.61,"$51,126.24",95.46,1281.8,59.30,South America,40.7
Australia,2022,Grains & Cereals,13313.78,"$13,273.68",140.85,183.5,41.34,Oceania,58.66
UK,2021,Frozen Food,33936.66,"$31,082.90",24.93,1234.6,66.51,Europe,33.49
Russia,2020,Prepared Food,26418.47,"$24,820.06",85.69,1257.3,65.04,Europe,34.96
Mexico,2021,Frozen Food,25204.06,"$22,725.56",65.79,1197.0,60.76,North America,39.24
Japan,2022,Prepared Food,3891.45,"$4,059.29",183.91,160.0,43.77,Asia,56.23
Canada,2024,Frozen Food,29007.66,"$28,622.38",34.53,1327.0,56.87,North America,43.13
Mexico,2021,Meat & Seafood,32727.80,"$37,447.10",100.48,261.1,39.04,North America,60.96
Italy,2023,Dairy Products,46189.14,"$42,351.80",150.95,253.8,33.01,Europe,66.99
Saudi Arabia,2024,Fruits & Vegetables,1104.56,"$1,300.14",134.77,906.4,37.85,Asia,62.15
Mexico,2021,Prepared Food,41701.22,"$42,629.63",154.95,850.6,64.40,North America,35.6
Turkey,2022,Prepared Food,11484.88,"$10,827.65",196.26,39.3,63.03,Asia,36.97
Indonesia,2021,Beverages,23043.63,"$22,714.51",167.69,477.2,56.08,Asia,43.92
Turkey,2024,Frozen Food,49640.44,"$43,002.21",147.97,1200.0,66.46,Asia,33.54
Japan,2019,Frozen Food,47373.71,"$50,237.28",122.91,1333.3,56.63,Asia,43.37
China,2021,Dairy Products,16464.38,"$18,670.32",37.64,1184.7,48.42,Asia,51.58
Germany,2024,Fruits & Vegetables,26111.99,"$21,589.27",168.69,1172.3,50.31,Europe,49.69
Turkey,2022,Grains & Cereals,29147.18,"$33,953.62",131.16,1317.6,44.80,Asia,55.2
Saudi Arabia,2023,Dairy Products,12894.18,"$13,051.48",160.37,418.7,46.87,Asia,53.13
Italy,2018,Fruits & Vegetables,24353.78,"$26,604.16",188.03,430.1,31.28,Europe,68.72
Germany,2023,Prepared Food,46296.01,"$45,513.35",53.07,754.6,34.16,Europe,65.84
Indonesia,2023,Prepared Food,35998.11,"$32,227.85",69.80,672.1,48.30,Asia,51.7
India,2024,Bakery Items,19940.67,"$16,685.00",69.49,1246.8,54.64,Asia,45.36
Mexico,2019,Dairy Products,20682.45,"$18,331.22",75.79,789.7,66.86,North America,33.14
India,2024,Beverages,25894.46,"$23,584.07",85.66,1317.8,64.46,Asia,35.54
Japan,2024,Grains & Cereals,6206.67,"$5,227.10",109.03,1303.5,63.17,Asia,36.83
UK,2023,Prepared Food,6158.59,"$5,344.53",52.96,271.0,39.15,Europe,60.85
South Korea,2018,Dairy Products,2995.27,"$3,247.61",47.23,592.2,49.19,Asia,50.81
Indonesia,2018,Frozen Food,22227.76,"$24,684.10",186.41,378.4,34.27,Asia,65.73
South Korea,2021,Grains & Cereals,37912.85,"$31,508.32",147.55,1208.2,62.76,Asia,37.24
France,2023,Prepared Food,45216.87,"$53,291.62",199.27,1258.5,66.59,Europe,33.41
